# BEAST v1.10.5 Prerelease #23570d1
# Generated Sun Apr 26 23:12:34 CEST 2020 [seed=1587935552865]
# -save_every 100000 -save_state checkpoint.state -beagle_gpu -overwrite HBV-E_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates
410000	1.0663656875675327	2.4617283419979623	1.0617457945482356	0.8869662787979835	2.7403614440111164	1.4772938934473303	0.0	1.0	1.0	1.0	0.0	1.0	4.0
420000	0.24160914053348578	3.284146725841144	0.5387146522641593	2.209654093436484	2.7662296437588023	0.08472373490471846	1.0	1.0	1.0	1.0	1.0	1.0	6.0
430000	1.7740597493400247	4.228322679735857	0.3323672300403311	1.6534437958165904	0.5061098299821217	0.466519114668717	1.0	1.0	1.0	0.0	1.0	0.0	4.0
440000	0.35207975077477627	0.5460851587614056	0.16448578086290452	1.7598757887082774	0.17658809050873545	0.4516104038799495	1.0	1.0	1.0	1.0	0.0	1.0	5.0
450000	0.8672669482733241	3.2725361478727253	1.2234396395443445	1.1052209817811367	4.166135098530976	2.1846945432764615	1.0	1.0	0.0	1.0	0.0	1.0	4.0
460000	0.7808757886943121	2.4695727713608355	0.05952813189406628	1.639076161786666	0.9411365628616998	2.322983928908366	1.0	1.0	0.0	1.0	1.0	1.0	5.0
470000	0.3398484676563433	2.57081583593543	2.2115993585927285	1.714053303869039	1.4494799665786875	4.755241902379988	1.0	1.0	0.0	1.0	0.0	1.0	4.0
480000	2.3012359049839017	3.137663634654212	0.894484062712225	0.0059053181600543184	1.0799689321453265	0.24959255470987496	1.0	1.0	1.0	0.0	1.0	0.0	4.0
490000	0.18652768199345898	0.7601002146341609	1.9346170887552154	0.2910922215602302	0.19109035900840934	0.37759312492251335	1.0	1.0	1.0	0.0	1.0	0.0	4.0
500000	0.443878862566063	0.5974145108652289	0.017078825678150392	1.6784812261897264	2.8561512641011286	0.12170592051944125	1.0	1.0	1.0	0.0	1.0	0.0	4.0
510000	0.24645736332854531	3.7489206043039087	1.3232349862861372	1.877784474924979	0.16140552063420258	0.6760927110347764	1.0	1.0	0.0	1.0	1.0	0.0	4.0
520000	0.8991514565156299	3.521517682069527	0.5691637633580133	0.39229085799793767	1.9028284013667962	0.39308024665735286	1.0	1.0	0.0	1.0	0.0	1.0	4.0
530000	0.4597784569235111	1.3175774289161037	0.01629768209929059	5.840816504010176	1.1407985049250968	0.77837064283368	1.0	1.0	1.0	0.0	1.0	1.0	5.0
540000	0.7239832408729235	2.1847429647346313	1.7821313255699014	2.0464822533466385	0.10206626483005764	1.9164905085399742	1.0	1.0	0.0	1.0	1.0	1.0	5.0
550000	0.2443872110315556	2.774260856905271	1.7576188456655295	0.22591006139207	0.6887532738355506	3.572918812596129	1.0	1.0	0.0	1.0	1.0	0.0	4.0
560000	2.0340436382750435	6.806026910393991	0.18674681755770925	0.40192299591962727	1.1430602486001593	0.1007063645185508	1.0	1.0	1.0	1.0	0.0	1.0	5.0
570000	0.37825347127375675	3.802283617983207	0.004263748877071389	0.07577303936875249	0.16594148518891025	0.11187412789259553	1.0	1.0	1.0	0.0	1.0	0.0	4.0
580000	0.0772346191097666	2.8296704081360127	0.033857208397481284	2.5785597736031525	3.931216006405883	0.9114830753138287	1.0	1.0	0.0	1.0	1.0	1.0	5.0
590000	0.14444466835658126	2.092058886089006	0.190367759846075	0.02010363489600778	1.3317707490058313	1.5022580651330104	1.0	1.0	0.0	1.0	0.0	1.0	4.0
