# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Feb 26 13:45:31 CET 2020 [seed=1582721128794]
# -beagle_gpu -save_every 200000 HBV-D_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
300000	2.2446746659043884	0.7850185108872954	0.9364138584664669	0.6564969285641891	0.2942715803838776	0.978460150304729	0.3708618100098261	1.1582942402491503	0.637525412254169	1.9698892340860468	0.024100633629979752	0.48596303371766103	0.14255761204706513	1.197580150787026	0.12230648828254922	2.5913325757239196	1.142744523778093	2.2038450153915337	1.770164017383146	2.8228266400059514	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
310000	0.03703831671885819	0.2939356289366818	0.4394902252958594	2.1438032297167053	0.17133852165790567	1.5955845468841703	0.24323611684971375	0.2556884561880475	0.2669211725755452	0.22567624801621222	1.8733441238510604	0.4991811410162364	0.20264794457313692	0.4787089962475518	0.888724040067081	0.5170191781141577	6.609179444029755	0.302145404708655	0.5836584841141548	0.5354522692747109	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
320000	0.7185679779425503	1.471933081471059	0.2309233838195407	2.5400239397409554	0.3211529073847926	0.8166796917582619	0.6303711515659394	0.3890578722990785	0.81825320858192	0.4830002796637455	0.21830597596783996	0.3723412364169784	3.813148110274432	0.2868187269240752	0.43626186624264063	1.2917285199299673	1.5164455595256514	0.8030824009896301	1.1442291497795443	1.2524984413855014	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
330000	0.15565421655656045	0.17115027955726514	0.4409661772155316	0.361572308271678	0.39513808218166185	1.847362611561011	0.09486577661904738	0.5615218479153751	0.39549626224825213	1.8688792029277344	0.8606819198353034	1.1633225530830138	1.4135119656184043	0.6350975014702849	0.59446296309116	1.2679225601607196	0.8900620194248053	2.781623506409688	2.3452464533575217	1.2543330924735288	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
340000	1.2145498530500207	0.012567123817839079	0.5299195551299134	0.8913505113242339	0.761036025033847	0.908029098020705	1.1966379070081223	0.685963410186259	0.05217928558141838	1.1222954179001323	0.4712771808323736	0.2276393819365169	0.39850574272147665	0.7295660367201126	0.2851928026675842	2.0835543240352594	1.832095840741549	0.5415493112427897	2.292374495367447	1.2385996811055977	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
350000	0.5308211558749762	0.8656099717818102	0.5403035441640486	0.2969312027009135	0.5242883031820146	0.8742310576150605	1.6286581416009909	0.28918528129271315	0.5683338410473768	0.7198571418725024	0.5734061841802891	1.1779030617922035	0.11500766715353795	1.0074959351707684	0.008835909973378122	1.8013077023849347	0.13089977395177632	1.4504958946047755	1.164513511156368	1.955525519890419	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
360000	4.22881973507528	0.6324407370726113	0.962984654650186	2.3390909093939887	0.5105281312825879	0.21909315302054033	3.228455835625607	0.06553101784571011	0.4086777853788963	1.459461126764751	0.889507062808532	0.7655286495930703	0.5819903790337084	0.5434934166160618	0.9492266014006526	1.2981779542560694	2.2806865761316923	3.260382253702546	1.5812932778462725	1.7209933023993074	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
370000	0.4275180121758653	0.25403852134057014	1.1210784985266493	0.9826177441954007	0.829493773995305	0.8291732091241438	0.08401592726873616	0.5711062680410197	0.3969957057036829	0.7877326074552438	0.9725919254517095	0.7814365864265026	1.1071285778304196	0.4030760315326585	0.21369975516670947	1.6825567816717713	0.29792447862263266	1.0700743374157955	2.295528860351063	3.522431529608107	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	13.0
380000	0.5669550534078406	0.5435381124787642	0.6976655164015054	3.5960132527334663	0.075235167130915	0.7027656692650561	0.0027652290107813516	0.5387147604377504	0.09079350449207271	0.6406317649348667	0.13259229634465147	0.4742970297850937	1.2835972173296628	0.7822096483363989	3.0050350472636924	1.7813639925581497	0.033123854124021176	0.9253286934561439	0.699049066075939	1.077473795577786	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
390000	0.23982449177179954	0.4020663468283875	0.4930189302000663	0.08466328399070594	0.1755852911182092	2.030705195737969	1.2348212984132936	0.16635620290014014	0.9429072233207326	1.7120355262220168	0.7790048572977806	0.06984462422566257	0.5835926479255737	1.1666157606335774	0.8969174975067437	2.5047091004776374	0.38863807524434923	0.6939771650917688	2.4140064648563766	1.739491401804886	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
