#node	date	numeric date
D3/GQ922002/Canada/1985/Canada/	1985-01-01	1985.000000
NODE_0000276	0850-07-25	850.566313
NODE_0000277	2006-01-01	2006.000000
D3/FJ692506/Haiti/2006/Haiti/	2006-01-01	2006.000000
D3/FJ692507/Haiti/2006/Haiti/	2006-01-01	2006.000000
NODE_0000278	0948-08-04	948.591879
D/G10715/Belgium/2007/Belgium/	2007-01-01	2007.000000
NODE_0000279	0974-01-09	974.025094
NODE_0000280	1063-08-07	1063.601374
D/FJ349214/Belgium/1999/Belgium/	1999-01-01	1999.000000
NODE_0000281	1168-03-10	1168.189021
D/FJ349221/Belgium/1999/Belgium/	1999-01-01	1999.000000
D3/AL78DHKL/Belgium/2004/Belgium/	2004-01-01	2004.000000
NODE_0000282	1053-12-05	1053.929767
NODE_0000283	1400-05-18	1400.379669
NODE_0000284	1675-03-25	1675.231715
D/81a/Belgium/2002/Belgium/	2002-01-01	2002.000000
D/G1HR4/Belgium/1988/Belgium/	1988-01-01	1988.000000
NODE_0000285	1479-08-02	1479.585920
D/FJ349209/Belgium/1998/Belgium/	1998-01-01	1998.000000
D/G1967/Belgium/1996/Belgium/	1996-01-01	1996.000000
NODE_0000286	1256-06-22	1256.474024
NODE_0000287	1327-01-03	1327.008392
D/FJ349211/Belgium/1998/Belgium/	1998-01-01	1998.000000
D/JN257181/Syria/2010/Syria/	2010-01-01	2010.000000
NODE_0000288	1330-09-30	1330.748241
NODE_0000171	1913-03-01	1913.166206
D/JN664937/India/2010/India/	2010-01-01	2010.000000
NODE_0000177	1913-03-01	1913.166206
D/JN664911/India/2010/India/	2010-01-01	2010.000000
NODE_0000291	1939-11-16	1939.876748
D/JN664917/India/2010/India/	2010-01-01	2010.000000
D/JN664938/India/2010/India/	2010-01-01	2010.000000
NODE_0000292	1344-08-18	1344.631821
NODE_0000293	1441-11-17	1441.880674
D/JN664916/India/2010/India/	2010-01-01	2010.000000
D/JN664936/India/2010/India/	2010-01-01	2010.000000
NODE_0000294	1439-10-19	1439.801669
D/JN664914/India/2010/India/	2010-01-01	2010.000000
NODE_0000295	1545-02-09	1545.110270
D/KF779382/USA/2005/USA/	3458-05-04	3458.340737
NODE_0000296	1663-11-01	1663.835326
D/JN664909/India/2010/India/	2010-01-01	2010.000000
D/JN664910/India/2010/India/	2010-01-01	2010.000000
NODE_0000298	1301-10-16	1301.792806
D/KF779209/USA/1998/USA/	1998-01-01	1998.000000
NODE_0000299	1326-06-01	1326.417063
D/AB210819/Japan/1990/Japan/	1990-01-01	1990.000000
NODE_0000300	1399-01-09	1399.027117
