#node	date	numeric date
NODE_0000087	1441-01-09	1441.024886
A1/KJ854700/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000088	1524-07-31	1524.581730
A1/KJ854690/Brazil/2007/Brazil	2007-01-01	2007.000000
A1/KJ854694/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000090	1473-03-26	1473.233229
A1/KJ854695/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000091	1487-04-26	1487.319844
A1/KJ854699/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000092	1501-05-26	1501.400113
A1/KJ854698/Brazil/2007/Brazil	2007-01-01	2007.000000
A1/KJ854701/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000093	0564-11-30	564.916773
NODE_0000094	0688-02-11	688.116166
A1/DQ315786/India/2004/India	2004-01-01	2004.000000
NODE_0000095	1905-01-30	1905.082273
A/AY161139/India/2002/India	2002-01-01	2002.000000
A/AY161138/India/2002/India	2002-01-01	2002.000000
NODE_0000096	0578-05-14	578.368011
NODE_0000097	0669-03-30	669.245437
A1/KJ533387/India/2009/India	2009-01-01	2009.000000
NODE_0000098	1551-12-30	1551.996905
A1/AB937795/Japan/1989/Japan	1989-01-01	1989.000000
A2/AB937799/Japan/2014/Japan	2014-01-01	2014.000000
NODE_0000099	0690-09-25	690.735106
A1/KJ533386/India/2009/India	2009-01-01	2009.000000
NODE_0000100	0730-08-11	730.613080
NODE_0000101	0827-07-30	827.579415
A/KM243029/India/2013/India	2013-01-01	2013.000000
A/AB453986/Japan/2006/Japan	2006-01-01	2006.000000
A1/KJ533388/India/2009/India	2009-01-01	2009.000000
NODE_0000103	1740-11-09	1740.859299
A/AY161142/India/2002/India	2002-01-01	2002.000000
NODE_0000104	1984-08-09	1984.605837
A/AY161144/India/2002/India	2002-01-01	2002.000000
A/AY161143/India/2002/India	2002-01-01	2002.000000
NODE_0000105	0512-10-10	512.774860
A/HM011485/Malaysia/2007/Malaysia	2007-01-01	2007.000000
NODE_0000106	0750-11-20	750.887973
NODE_0000107	1055-09-11	1055.695861
NODE_0000108	1168-10-30	1168.829879
NODE_0000109	1972-07-26	1972.568411
A1/AB937791/Japan/2002/Japan	2002-01-01	2002.000000
A1/AB937796/Japan/1999/Japan	1999-01-01	1999.000000
NODE_0000110	1295-02-11	1295.115516
A/AB453988/Japan/2006/Japan	2006-01-01	2006.000000
A/AB453989/Japan/2006/Japan	2006-01-01	2006.000000
NODE_0000111	1333-03-06	1333.179036
A1/FJ692588/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000112	1358-06-17	1358.460304
NODE_0000113	1418-06-29	1418.493868
A1/FJ692567/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000114	2006-01-01	2006.000000
A1/FJ692590/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692591/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000115	1378-06-07	1378.433456
A1/FJ692589/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000116	1445-03-18	1445.212736
A1/FJ692586/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000117	2006-01-01	2006.000000
A1/FJ692564/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692565/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000118	1140-08-17	1140.627268
A1/KJ854688/Brazil/2007/Brazil	2007-01-01	2007.000000
NODE_0000119	1324-02-09	1324.110275
NODE_0000120	1342-06-08	1342.436555
A1/FJ692563/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000121	1371-02-25	1371.153919
A1/FJ692574/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000122	1381-09-02	1381.672309
A1/FJ692572/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000123	1392-10-25	1392.816779
NODE_0000124	1418-06-04	1418.425928
A1/FJ692559/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000125	1571-08-09	1571.607027
A1/FJ692562/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692568/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000126	1405-07-03	1405.505081
A1/FJ692558/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000127	1424-08-23	1424.643471
NODE_0000128	1515-12-25	1515.985602
A1/FJ692561/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692576/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000129	1562-09-26	1562.738902
A1/FJ692570/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692577/Haiti/2006/Haiti	2006-01-01	2006.000000
