# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 26 14:41:23 CEST 2023 [seed=1695732074588]
# -beagle_double HBV-E_updated_geo_priors_completeHistory_posterior_run3.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	Current Tree	c_allTransitions[1]
21710000	-39.96086583197743	-0.7018853749393861	-39.25898045703804	0.7574870373808001	0.08591974642495079	0.15659321619425615	0.01654439750934532	0.0230796130742275	0.05018671166846124	0.07907389813380242	0.12268346174134756	0.019164664157792236	1.6414537690091824	0.3252326770584362	0.0	1.0	1.0	1.0	1.0	1.0	5.0	624.0	12.0
21720000	-41.05681940102894	0.6011098941647695	-41.65792929519371	0.08919144125983802	0.2516224816198178	0.6591860771203514	0.0014706586715837152	0.002496009686637867	0.13420226918128617	0.353368538643721	1.826252461391226	0.5006024033670518	0.45713562406636804	0.30593952419481757	1.0	1.0	1.0	1.0	1.0	1.0	6.0	384.0	14.0
21730000	-52.2629283806833	-9.654086264855492	-42.608842115827805	0.429225089743026	0.06069365089928161	0.5100812593576994	0.03509032379997258	0.04054980267279808	1.125809219991161	0.06262762843707174	3.544335703269884	0.3691293321104519	2.5020540027140155	3.199203200989206	0.0	1.0	1.0	1.0	0.0	1.0	4.0	800.0	11.0
21740000	-38.55078502173083	0.17617482478038582	-38.72695984651122	0.8402462552324789	0.001096209576874646	0.1586575351906533	0.005107648067851856	0.00743073468805299	0.9918051374667876	0.16678868721023196	0.5640529468513941	0.6701386994428902	0.46481323673621344	0.721828681658133	0.0	1.0	0.0	1.0	1.0	1.0	4.0	376.0	11.0
21750000	-38.32059711377682	0.9926793437954329	-39.31327645757225	0.828460098069226	0.07477848273302068	0.09676141919776002	0.0030365162068008897	9.974643203744728E-4	0.5370946763494208	0.8949174605669571	0.13659627379276815	1.0589134763740091	0.49321971856484026	1.038768860356252	1.0	1.0	0.0	1.0	1.0	1.0	5.0	607.0	8.0
21760000	-46.23476568133407	-6.929454645098364	-39.3053110362357	0.22218458206541325	0.5781559662305947	0.19965945170399857	0.14388147432904713	0.050594030683288375	1.321685876652856	0.9519655537776499	1.6273580796906446	0.2896666763350778	2.3486188457874153	0.45986899335589354	0.0	0.0	1.0	0.0	1.0	0.0	2.0	614.0	68.0
21770000	-47.03497920752848	-6.252737412713013	-40.78224179481547	0.1954144551798191	0.5304822603228396	0.2741032844973477	0.151733550130221	0.02853807971125602	1.404444310070322	0.06575806136034226	0.05522672904185339	0.40420960859508387	1.2770441105932677	2.397182647948364	0.0	1.0	1.0	1.0	1.0	1.0	5.0	204.0	13.0
21780000	-45.813890347647906	-1.749991116003419	-44.063899231644484	0.42429216518402946	0.20271467172046903	0.3729931630955079	0.005639607498703451	0.0022996196135137014	0.5216616740490406	0.45461183250584153	2.8633384884201	0.8870810255392992	0.39069060886236373	1.2863933352919694	0.0	1.0	1.0	0.0	1.0	1.0	4.0	356.0	9.0
21790000	-43.735039206319705	-5.130918962043052	-38.60412024427665	0.1553710611368411	0.20870570711584824	0.6359232317473172	0.4137053122053706	0.07639822538563101	0.40197898468502946	0.058966860096206906	0.13685274730494465	1.718710394260854	0.7991358507362548	0.24511208301208517	0.0	1.0	0.0	1.0	1.0	1.0	4.0	453.0	25.0
21800000	-45.16816939369411	-4.744608744000734	-40.42356064969337	0.6261225440847218	0.28143783562819713	0.09243962028708785	0.00318121067401385	0.0023618554028317865	0.19445435165992522	2.2349614023427633	0.8371723705978276	0.5711248705619865	0.09882253474346156	5.476414768450683	1.0	1.0	0.0	1.0	1.0	1.0	5.0	38.0	8.0
